nama_paket;pagu;jenis;tahun;kategori;metode;bulan;lokasi;instansi;nomor_id
Pengadaan BMHP (BOK);781974613;Barang;2026;Bukan Usaha Kecil Koperasi;E Purchasing;March 2026;Mandailing Natal;DINAS KESEHATAN;65380658
Belanja Bahan Bahan Baku;99209750;Barang;2026;Bukan Usaha Kecil Koperasi;E Purchasing;March 2026;Mandailing Natal;DINAS KESEHATAN;65379838
Belanja Obat Obatan Obat  Pengadaan Obat  Vaksin (BOK);1811670115;Barang;2026;Bukan Usaha Kecil Koperasi;E Purchasing;March 2026;Mandailing Natal;DINAS KESEHATAN;65477997
Pengadaan Obat  Vaksin (DAU PERUNTUKAN KESEHATAN);800790250;Barang;2026;Bukan Usaha Kecil Koperasi;E Purchasing;March 2026;Mandailing Natal;DINAS KESEHATAN;65477682
Belanja Obat Obatan Obat Obatan Lainnya;119460000;Barang;2026;Bukan Usaha Kecil Koperasi;E Purchasing;March 2026;Mandailing Natal;DINAS KESEHATAN;65379839
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;20930100;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KETAHANAN PANGAN;64963586
Belanja Obat Obatan Obat Obatan Lainnya;26467200;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KETAHANAN PANGAN;64963795
Belanja Alat Bahan untuk Kegiatan Kantor Bahan Komputer;553150;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KETAHANAN PANGAN;64963768
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;9663450;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BAGIAN ADMINISTRASI PEMBANGUNAN;65337018
Belanja Natura dan Pakan Natura;419250;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN;65746732
Belanja Natura dan Pakan Natura;419250;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN;65746759
Belanja Makanan dan Minuman Rapat;340000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN;65746760
Belanja Peralatan dan Mesin Alat Kantor dan Rumah Tangga Alat Kantor Mesin Hitung Mesin Jumlah;362500;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;KECAMATAN PUNCAK SORIK MARAPI;65478572
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;876000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654725
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;748950;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654724
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;5168400;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654376
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;547300;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654716
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;4493750;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654857
Belanja Modal Peralatan Personal Computer;9481500;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654889
Belanja Modal Alat Kesehatan Umum Lainnya;8866900;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654613
Belanja Modal Alat Pendingin;1528050;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654887
Belanja Bahan Bahan Kimia;22904200;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERTANIAN;65654610
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;10000000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA;65158042
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;1000000;Barang;2026;Usaha Kecil Koperasi;Dikecualikan;January 2026;Mandailing Natal;BADAN KESATUAN BANGSA DAN POLITIK;64961174
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;978750;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;BAGIAN ORGANISASI;65522399
Belanja Modal Komputer Unit Lainnya;6227200;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;BAGIAN ORGANISASI;65522392
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;7500000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;BAGIAN PERENCANAAN DAN KEUANGAN;65523502
Belanja Modal Personal Computer;23256700;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERDAGANGAN;65152116
Belanja Makanan dan Minuman Rapat;1385280;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERDAGANGAN;65152732
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;3843311;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERDAGANGAN;65152736
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;500000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERDAGANGAN;65152883
Belanja Pakaian Sipil Harian (PSH);18240000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERDAGANGAN;65152118
Belanja Makanan dan Minuman Rapat;15525000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65511060
Belanja Pemeliharaan Alat Angkutan Alat Angkutan Darat Bermotor Kendaraan Bermotor Penumpang;147280000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65511470
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;5000000;Barang;2026;Usaha Kecil Koperasi;Dikecualikan;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65511521
Belanja Makanan dan Minuman Rapat;70650000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65512445
Belanja Modal Alat Pelindung Lainnya;689400;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65512289
Belanja Makanan dan Minuman Aktivitas Lapangan;2181000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PERHUBUNGAN;65512414
Belanja Alat Bahan untuk Kegiatan Kantor  Kertas dan Cover;484600;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;KECAMATAN LEMBAH SORIK MARAPI;65545011
Belanja Alat Bahan untuk Kegiatan Kantor Benda Pos;2000000;Barang;2026;Usaha Kecil Koperasi;Dikecualikan;January 2026;Mandailing Natal;KECAMATAN LEMBAH SORIK MARAPI;65545118
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;16207000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PEMUDA DAN OLAHRAGA;65970907
Belanja Barang untuk Dijual Diserahkan kepada Masyarakat;3015100;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PEMUDA DAN OLAHRAGA;65971076
Belanja Makanan dan Minuman Rapat;5100000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PEMUDA DAN OLAHRAGA;65828413
Belanja Makanan dan Minuman Rapat;4625000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PEMUDA DAN OLAHRAGA;65971261
Belanja Alat Bahan untuk Kegiatan Kantor  Bahan Cetak;1959600;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;February 2026;Mandailing Natal;DINAS PEMUDA DAN OLAHRAGA;65828406
Belanja Alat Bahan untuk Kegiatan Kantor Alat Tulis Kantor;30027900;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL;66116256
Belanja Barang untuk Dijual Diserahkan kepada Masyarakat;11746300;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENANGGULANGAN BENCANA DAERAH;66185562
Belanja Barang untuk Dijual Diserahkan kepada Masyarakat;32684000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;BADAN PENANGGULANGAN BENCANA DAERAH;66185650
Belanja Makanan dan Minuman Rapat;1550000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PARIWISATA;66227845
Belanja Pemeliharaan Alat Bengkel dan Alat Ukur Alat Bengkel Bermesin Perkakas Bengkel Listrik;1800000;Barang;2026;Usaha Kecil Koperasi;Pengadaan Langsung;January 2026;Mandailing Natal;DINAS PARIWISATA;66227853
