id,kode_paket,kode_rup,tahun_anggaran,nama_instansi,satuan_kerja,nama_penyedia,nama_paket,total_nilai,nilai_pdn,sumber_transaksi,sumber_dana,metode_pengadaan,jenis_pengadaan,status_paket,created_at,updated_at
1,2827373,34698005,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. AULIA RIZKI PRATAMA,Pembangunan Drainase dan Gorong - Gorong di Desa Muaramais Jambur Kec. Tambangan,1.9850E+8,1.9850E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
2,671972,34281017,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT. Mersifarma Tirmaku Mercusana,Trihexyphenidyl hydrochloride (HCl)/ Triheksifenidil tablet/kapsul/kaplet 2 mg,5.040E+7,5.040E+7,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
3,2553373,34696700,2022,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG -,CV. FARIZ PRATAMA,Pembangunan Baru SPAM Jaringan Perpipaan Desa Tolang,735591750,735591750,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
4,809126,34279202,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,PT. Emiindo Jaya Bersama,Blood Pressure Monitor/ Tensimeter Digital Powerbank Plus  Adaptor,5455600,5455600,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
5,1825370,36366302,2022,KAB. MANDAILING NATAL,BAGIAN PENGADAAN BARANG DAN JASA SETDAKAB MANDAILING NATAL - 4.01.5.06.0.00.26.0005,CV. KREASI KENANGA,Binder Klip No. 105,252000,252000,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
6,741574,34281017,2022,KAB. MANDAILING NATAL,DINAS KESEHATAN -,P.T. Dexa Medica,Spironolactone/ Spironolakton tablet/kapsul/kaplet 25 mg,6.00E+6,6.00E+6,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
7,2814373,35573727,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN -,CV. BERKAH QYMERA,Pembangunan Ruang Kelas Baru - SD Negeri 109 Siobon,1.9400E+8,1.9400E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
8,919937,36087609,2022,KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEUBUDAYAAN - 1.01.2.22.0.00.00.0000,PT Sentra Kriya Edukasi,Peralatan Laboratorium IPA Biologi SMP,2.8776E+8,2.8776E+8,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
9,2493373,35538498,2022,KAB. MANDAILING NATAL,DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.04.0000,CV. WIKASA,Pembangunan Jalan Lingkungan di Desa Dalan Lidang Kec. lingga Bayu,1.3350E+8,1.3350E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
10,1270685,36366301,2022,KAB. MANDAILING NATAL,BAGIAN PENGADAAN BARANG DAN JASA SETDAKAB MANDAILING NATAL - 4.01.5.06.0.00.26.0005,CV. KREASI KENANGA,Plastik Sampul,110250,110250,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.330072,2026-06-14 09:36:34.330072
