Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KSERANCFFGP100GSN7VRBCEC,66765523,2026,E-Katalog 6.0,BLUD,YARINDO FARMATAMA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,9240750,9240750
KAB. MANDAILING NATAL,SEKRETARIAT DAERAH KABUPATEN - 4.01.5.06.0.00.24.0000,01KPT4EFKA2DREQGZEFJWTZWW7,66359653,2026,E-Katalog 6.0,APBD,BERKAH QYMERA,E-Purchasing,Jasa Lainnya,Belanja Sewa Sarana Mobilitas Darat - Pemberangkatan dan Pemulangan Jema'ah Haji,ON PROCESS,192185400,192185400
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KPFCV8G6TNE95RMFKCV9XJZ3,66765523,2026,E-Katalog 6.0,BLUD,GLAXO WELLCOME INDONESIA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,15923128,0
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KPZ19782XAD5NM4J8MZK159W,66250786,2026,E-Katalog 6.0,APBD,OLYMPUS MEDICAL INDONESIA,E-Purchasing,Barang,Belanja Modal Alat Kesehatan Umum Lainnya,ON PROCESS,3528000001,0
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KS72XAY7500WZQ8A8FM548MR,66765523,2026,E-Katalog 6.0,BLUD,KIMIA FARMA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,50867326,50867326
KAB. MANDAILING NATAL,DINAS KOMUNIKASI DAN INFORMATIKA - 2.16.2.20.2.21.15.0000,01KSETT7SX1PZFK64YP3HKWX32,64957102,2026,E-Katalog 6.0,APBD,PERUSAHAAN PERSEROAN (PERSERO) PT. TELEKOMUNIKASI INDONESIA,E-Purchasing,Jasa Lainnya,Internet Service Provider (Domestik)  90 Mbps,ON PROCESS,212810088,212810088
KAB. MANDAILING NATAL,DINAS PERDAGANGAN - 3.30.3.31.0.00.23.0000,10869919000,67105527,2026,Non Tender,APBD,CV. RENDER CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Jasa Konsultansi Pengawasan Fisik Sarana dan Prasarana Bidang Pengembangan Perdagangan,SELESAI,39504900,39504900
KAB. MANDAILING NATAL,DINAS PERDAGANGAN - 3.30.3.31.0.00.23.0000,10858029000,65155640,2026,Non Tender,APBD,CV. ALDRICH PERDANA KARYA,Pengadaan Langsung,Pekerjaan Konstruksi,Pembangunan Sarana dan Prasarana Pasar Kelas III Gunung Baringin Kecamatan Panyabungan Timur,BERLANGSUNG,99300000,99300000
KAB. MANDAILING NATAL,BADAN PENDAPATAN DAERAH - 5.02.0.00.0.00.28.0000,01KS47PHS3TFF78APD7QQ7R48E,64677154,2026,E-Katalog 6.0,APBD,HASBIH SHIDDIQ ,E-Purchasing,Barang,Belanja Modal Peralatan Komputer Lainnya,ON PROCESS,99217350,99217350
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KQ923H26S4VWKJ9B3RZK822Z,66335920,2026,E-Katalog 6.0,BLUD,MEGA ANDALAN KALASAN,E-Purchasing,Barang,Belanja Modal Peralatan dan Mesin BLUD,ON PROCESS,13808400,13808400
